ptid,methods,Analyte,Type,Well,Description,FI,FI - Bkgd,Std Dev,%CV,Conc in Range,Obs Conc,Obs Conc Std Dev,Obs Conc %CV,Exp Conc,(Obs/Exp) * 100,Dilution,Bead Count,batch.x,Sample ID,Conditions,Dilution factor,Note,protein concentration (mcg/ml),batch.y,Sample,normCon
0,Background,GM-CSF (20),B,"A1,B1",Reagent Name: Background0,247,247,12.73,5.15,NA,NA,NA,NA,NA,NA,1,"64,65",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
0,Background,GM-CSF (20),B,"A1,B1",Reagent Name: Background0,68,68,0,0,NA,NA,NA,NA,NA,NA,1,"97,77",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
1,QC,GM-CSF (20),X1,"A3,B3",Sample ID: QC1,1739,1492,177.48,10.21,0.92,0.92,0.12,13.41,NA,NA,1,"56,68",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
1,QC,GM-CSF (20),X1,"A3,B3",Sample ID: QC1,3492,3424,205.06,5.87,0.99,0.99,7.00E-02,7.3,NA,NA,1,"94,102",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
1,Standard,GM-CSF (20),S1,"C1,D1",Reagent Name: Standard1,288.8,41.8,21.57,7.47,0.06,0.06,0.01,15.76,0.06,99,1,"62,73",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
1,Standard,GM-CSF (20),S1,"C1,D1",Reagent Name: Standard1,367,299,33.23,9.06,0.06,0.06,0.01,12.91,0.06,100,1,"98,88",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
2,QC,GM-CSF (20),X2,"C3,D3",Sample ID: QC2,9012.5,8765.5,440.53,4.89,9.91,9.91,0.89,8.95,NA,NA,1,"63,85",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
2,QC,GM-CSF (20),X2,"C3,D3",Sample ID: QC2,14294.8,14226.8,232.28,1.62,10.23,10.23,0.49,4.79,NA,NA,1,"87,74",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
2,Standard,GM-CSF (20),S2,"E1,F1",Reagent Name: Standard2,665,418,15.56,2.34,0.25,0.25,0.01,3.4,0.24,102,1,"86,61",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
2,Standard,GM-CSF (20),S2,"E1,F1",Reagent Name: Standard2,1079,1011,38.18,3.54,0.24,0.24,0.01,4.23,0.24,99,1,"112,82",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
3,Standard,GM-CSF (20),S3,"G1,H1",Reagent Name: Standard3,1793.5,1546.5,2.12,0.12,0.96,0.96,0,0.16,0.98,98,1,"63,88",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
3,Standard,GM-CSF (20),S3,"G1,H1",Reagent Name: Standard3,3481,3413,168.29,4.83,0.99,0.99,0.06,6.01,0.98,101,1,"84,75",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
4,Standard,GM-CSF (20),S4,"A2,B2",Reagent Name: Standard4,5094.3,4847.3,24.4,0.48,3.95,3.95,0.03,0.7,3.91,101,1,"81,78",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
4,Standard,GM-CSF (20),S4,"A2,B2",Reagent Name: Standard4,9143,9075,245.37,2.68,3.86,3.86,0.18,4.64,3.91,99,1,"96,134",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
5,Standard,GM-CSF (20),S5,"C2,D2",Reagent Name: Standard5,11347.3,11100.3,197.64,1.74,15.68,15.68,0.6,3.81,15.63,100,1,"74,64",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
5,Standard,GM-CSF (20),S5,"C2,D2",Reagent Name: Standard5,16197.5,16129.5,337.29,2.08,15.71,15.71,1.33,8.45,15.63,101,1,"105,93",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
6,Standard,GM-CSF (20),S6,"E2,F2",Reagent Name: Standard6,17665.3,17418.3,922.42,5.22,60.79,60.79,15.52,24.93,62.5,97,1,"74,80",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
6,Standard,GM-CSF (20),S6,"E2,F2",Reagent Name: Standard6,19889,19821,202.94,1.02,70.57,70.57,11.89,16.62,62.5,113,1,"96,84",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
7,Standard,GM-CSF (20),S7,"G2,H2",Reagent Name: Standard7,21205.5,20958.5,389.62,1.84,262.4,262.4,77.35,28.4,250,105,1,"71,75",expt1,NA,unknown,NA,NA,NA,NA,NA,NA
7,Standard,GM-CSF (20),S7,"G2,H2",Reagent Name: Standard7,20635.3,20567.3,56.92,0.28,179.57,179.57,21.43,11.85,250,72,1,"86,61",expt2,NA,unknown,NA,NA,NA,NA,NA,NA
3991,epithelial brushings,GM-CSF (20),X3,"E3,F3",Sample ID: 3991 Pellet,101,33,7.07,7,OOR <,NA,0,81,NA,NA,1,"19,15",expt2,3991 Pellet,AERD+steroids,Neat,cytology brushings in RIPA Buffer,1465.8602,expt2,X3,NA
3994,epithelial brushings,GM-CSF (20),X3,"E3,F3",Sample ID: 3994 Pellet,162.5,-84.5,7.78,4.79,OOR <,0.01,0,28.65,NA,NA,1,"73,93",expt1,3994 Pellet,AERD+nosteroids,Neat,cytology brushings in RIPA Buffer,3105.6864,expt1,NA,3.22E-06
3994,tissue,GM-CSF (20),X17,"A7,B7",Sample ID: 3994 tissue,162,-85,26.87,16.59,OOR <,0.01,0.01,96.7,NA,NA,1,"51,105",expt1,3994 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,2191.5857,expt1,NA,4.56E-06
3995,epithelial brushings,GM-CSF (20),X4,"G3,H3",Sample ID: 3995 Pellet,168.3,-78.8,8.84,5.25,OOR <,0.02,0.01,27.48,NA,NA,2,"72,109",expt1,3995 Pellet,AERD+nosteroids,2,cytology brushings in RIPA Buffer,1948.9818,expt1,NA,1.03E-05
3995,tissue,GM-CSF (20),X18,"C7,D7",Sample ID: 3995 tissue,143,-104,0.71,0.49,OOR <,NA,0,7.04,NA,NA,1,"50,56",expt1,3995 tissue,AERD+nosteroids,Neat,tissue homogenate in PI solution,1641.1058,expt1,NA,NA
